Wine,Color,Name,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19
Languedoc,P,Rose5,6,1,6,3,3,3,2,1,2,5,5,3,1,2,1,2,1,6,1
Rhone,R,Red6,3,4,2,1,2,1,3,2,2,6,5,2,1,2,3,3,4,3,6
Languedoc,W,White5,4,1,1,5,3,3,2,1,1,4,5,2,4,3,2,1,1,1,1
StEmilion,R,Red4,2,2,3,1,4,2,3,2,4,7,4,2,6,4,5,2,4,2,6
Anjou,P,Rose1,2,3,6,5,1,4,1,1,3,3,2,3,9,1,6,2,3,4,2
Tonnerre,P,Rose3,1,1,4,5,1,4,2,1,2,5,5,1,2,3,1,4,3,6,5
Chinon,R,Red1,4,2,5,1,3,4,3,2,3,4,3,1,3,1,3,4,4,5,5
Rhone,W,White6,4,1,4,2,1,3,2,1,1,7,1,3,4,4,1,2,2,1,1
Beaujolais,R,Red2,3,5,5,4,3,2,3,2,2,4,3,2,8,3,3,3,1,4,6
Bourgogne,W,White2,2,1,1,2,2,1,1,1,5,2,2,3,4,3,4,2,1,6,2
Rhone,R,Rose6,7,1,6,3,3,3,1,1,1,7,5,3,4,2,1,1,2,1,2
Chardonnay,W,White3,5,1,6,3,1,3,2,1,1,4,1,3,2,3,2,1,1,6,1
Rose,R,Rose2,1,1,5,3,1,4,1,1,1,1,5,3,2,3,1,1,3,6,5
Beaune,R,Red3,4,3,3,1,4,1,3,2,5,2,3,1,7,1,2,3,3,3,3
Bordeaux,R,Rose4,5,1,6,3,2,3,2,1,1,5,5,3,1,2,1,1,2,6,1
Bordeaux,W,White4,5,1,2,4,1,2,2,1,1,7,5,3,3,4,2,4,1,3,5
Languedoc,R,Red5,3,4,2,1,4,1,3,2,3,6,2,2,5,4,3,3,4,4,3
Touraine,W,White1,8,1,1,2,1,1,2,1,1,1,5,3,4,4,2,1,2,6,4
