"","Order","Whole Brain","Telencephalon","Pallium","Subpallium","Tectum","Diencephalon","Cerebellum","Brainstem","Rest of Brain"
"Starling","Passeriformes",691,691,699,635,492,155,852,107,425
"Mynah","Passeriformes",704,709,717,663,451,119,876,84,437
"Blackbird","Passeriformes",630,598,612,524,475,153,816,113,375
"Goldcrest","Passeriformes",788,788,803,718,717,400,883,237,627
"Zebrafinch","Passeriformes",695,691,703,629,598,305,840,184,485
"Tit","Passeriformes",662,616,625,563,591,252,807,175,466
"Blackcap","Passeriformes",645,600,597,621,559,243,826,159,442
"Raven","Corvid",636,632,634,610,302,97,812,51,362
"Rook","Corvid",638,620,632,538,349,123,840,70,356
"Jackdaw","Corvid",631,596,607,506,430,117,867,87,347
"Magpie","Corvid",626,611,613,599,379,119,844,69,354
"Jay","Corvid",691,680,692,601,435,124,878,76,401
"Azure-Magpie","Corvid",679,673,682,612,479,146,867,96,436
"Macaw","Psittaciformes",635,640,624,706,318,64,806,47,544
"Parrotlet","Psittaciformes",627,593,594,583,479,214,847,152,414
"Parakeet","Psittaciformes",639,647,645,657,418,122,812,77,447
"Parrot","Psittaciformes",640,656,612,825,287,85,810,51,568
"Budgerigar","Psittaciformes",646,643,644,640,457,177,814,111,449
"Rosella ","Psittaciformes",669,677,671,710,352,135,845,79,455
"Alexandrine Parakeet","Psittaciformes",657,666,659,695,326,97,821,60,449
"Crested-Cockatoo","Psittaciformes",679,684,667,745,361,121,837,57,554
"Cockatoo","Psittaciformes",594,568,596,456,321,91,838,54,326
"Cockatiel","Psittaciformes",659,679,692,608,453,149,813,86,420
"Kea","Psittaciformes",688,693,689,711,398,88,860,51,549
"Owl","Strigiformes",569,572,583,384,269,132,797,79,196
"Pigeon","Columbiformes",542,450,461,388,364,71,806,63,236
"Junglefowl","Galliformes",435,359,356,369,360,95,802,67,235
"Emu","Struthioniformes",466,353,365,242,214,76,779,28,133
